ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
664,오다,VERB,to come,来る,"hoy, ahora",hari ini,언제 오세요?,When are you coming?,いついらっしゃいますか?,Hoy es mi día franco.,Hari ini adalah hari libur saya.,
665,오래,ADV,long; for a long time,長く,venir, datang,오래 기다리시게 해서 죄송합니다.,I'm sorry to have kept you waiting for so long.,長くお待たせいたして申し訳ありません。,¿Cuándo vienes?,Kapan anda akan datang?,
666,오래간만,NOUN,in a long time,ひさしぶり,"antes, por tanto",lama; untuk waktu yang lama ,고향에 오래간만에 오신 건가요? ,Has it been a while since you've been back to your hometown?,故郷に久し振りにいらっしゃったんですか? ,Estoy apesadumbrado de haberte hecho esperar por tanto tiempo.,Saya minta maaf karena membuat anda lama menunggu.,
667,오렌지,NOUN,orange,オレンジ,hace mucho tiempo,dalam waktu yang lama,이 오렌지 신선한 건가요? ,Are these oranges fresh?,このオレンジ新鮮なんですか? ,¿Hace mucho tiempo que no visita su ciudad natal?,Sudah lamakah sejak anda kembali ke kampong halaman anda?,
668,오르다,VERB,"to rise, to go up",上がる,naranja,jeruk,기름 가격이 또 올랐네.,The price of gasoline has gone up again.,油の価格がまた上がったな。,¿Las naranjas están frescas?,Apakah jeruk-jeruk ini segar?,
669,오른쪽,NOUN,the right,右側,aumentar,naik,공원에서 오른쪽으로 도세요.,Turn right at the park.,公園で右側に曲がってください。,El precio de la gasolina ha aumentado otra vez.,Harga bahan bakar naik lagi.,
670,오빠,NOUN,girl's older brother,お兄さん,derecha,kanan,너희 오빠는 안경을 쓰니? ,Does your brother wear glasses?,君のお兄さんはめがねをかけてるの? ,Dar vuelta a la derecha en el parque.,Belok kanan di taman.,
671,오전,NOUN,morning; a.m.,午前,hermano mayor,kakak laki-laki,저는 오전 9시부터 오후 6시까지 일해요.,I work from 9 a.m. to 6 p.m.,私は午前 9時から午後 6時まで働きます。,¿Tu hermano usa anteojos?,Apakah kakak laki-laki anda memakai kacamata?,
672,오후,NOUN,afternoon; p.m.,午後,"mañana, desayuno",pagi hari,이따 오후에 오세요.,Come by this afternoon.,後程午後に来てください。,Trabajo a partir de las nueve de la mañana hasta las seis de la tarde.,Saya bekerja dari jam 9(sembilan) pagi sampai jam 6(enam) sore.,
673,올라가다,VERB,"to go up, to rise",上がる,tarde,sore hari,몇 층이나 올라가야 해요?,How many flights of stairs should I go up?,何階程上がらなければならないですか?,Venga luego a la tarde.,Silahkan mampir sore ini.,
674,올해,NOUN,this year,今年,subir,maju; naik,올해는 담배를 끊기로 결심했어요.,I've decided to quit smoking this year.,今年はタバコをやめることに決心したんです。,¿Cuántos escalones tengo que subir?,Berapa banyak tangga sebaiknya saya naik keatas? ,
675,옮기다,VERB,to move,動かす,este año,tahun ini,오늘 '누가 내 치즈를 옮겼을까?'라는 책을 읽었다.,"I read the book, Who moved my cheese?"" today."""" read the book"," ""Who moved m""""read the bo""",今日 '誰が私のチーズを動かしたの？'という本を読んだ。,He decidido parar de fumar este año.,Saya memutuskan untuk berhenti merokok tahun ini.
676,옷,NOUN,clothes,服,"mover, cambiar (de puesto)",memindahkan,이 옷 나한테 맞을까? ,Do you think these clothes will fit me?,この服私に合うかな? ,"Hoy leí el libro, “¿Quién movió mi queso?”.","Saya membaca buku, “siapa yang memindahkan keju saya?” hari ini.",
677,완전히,ADV,"perfectly, completely",完全に,"ropa, atuendo","pakaian, baju",어젯밤에 너 완전히 취했었어. ,You were completely drunk last night.,昨晩お前完全に酔っていた。 ,¿Piensas que estas ropas me quedarán bien?,Anda pikir baju-baju ini cocok untuk saya?,
678,왜,ADV,why,"なぜ, どうして",totalmente,"dengan sempurna, dengan lengkap",왜 그랬니?,Why did you do that?,どうしてそうしたの?,Ayer por la noche estabas totalmente tomado.,Anda benar – benar mabuk semalam.,
679,왜냐하면,ADV,because,なぜなら,por qué,"mengapa, kenapa",나는 아침에 늦게 일어난다. 왜냐하면 할 일이 없기 때문이다.,I wake up late in the morning because I have nothing to do.,私は朝に遅く起きる。 何故ならすべきことがないからだ。,¿Por qué hiciste eso?,Mengapa anda melakukannya?,
680,외국,NOUN,foreign country,外国,porque,karena,외국에서 태어났으면 좋았을 텐데.,I wish I had been born in a foreign country.,外国で生まれたら良かったでしょうに。,Me desperté tarde por la mañana porque no tenía nada para hacer.,Saya bangun terlambat pagi ini karena tidak ada yang perlu saya lakukan,
681,외국어,NOUN,foreign language,外国語,país extranjero,negara asing,할 줄 아는 외국어가 있으세요?,Can you speak any foreign languages?,できる外国語がありますか?,Me hubiese gustado ser nato en un país extranjero.,Saya berharap saya dilahirkan di negara asing.,
682,외국인,NOUN,foreigner,外国人,lenguaje extranjero,bahasa asing,이태원에는 외국인이 많아요.,There are many foreigners in Itaewon.,梨泰院には外国人が多いです。,¿Sabes hablar idiomas extranjeros?,Dapatkah anda berbicara bahasa asing?,
683,왼쪽,NOUN,the left,左側,extranjero,orang asing,왼쪽에 있는 빨간 버튼을 누르세요.,Press the red button on your left.,左側にある赤いボタンを押してください。,Hay muchos extranjeros en Itaewon.,Banyak sekali orang-orang asing di Itaewon.,
684,요리 | 요리하다,NOUN | VERB,cooking | to cook ,料理 | 料理する,izquierda,kiri,이것들 전부 니가 요리한 거야?,Did you cook all these?,これら全部お前が料理したの?,Presionar el botón rojo en su izquierda.,Tekan tombol merah disebelah kiri.,
685,요즈음,"NOUN, ADV","these days, today","このごろ, 近頃",comida; cocinar,memasak,요즈음 살이 쪄.,I'm gaining weight these days.,近頃太る。,¿Cocinaste todo ésto tú solo?,Apakah anda yang memasak semua ini?,
686,욕심,NOUN,greed,欲心,"estos días, actualmente, recientemente","akhir-akhir ini, hari ini ",욕심엔 끝이 없다.,Greed has no limits.,欲心には終りがない。,Estoy aumentando de peso actualmente.,Berat badan saya naik akhir-akhir ini.,
687,우리,PRONOUN,we,私たち,"avaricia, egoísmo",ketamakan,우리 전에 만난 적 있나요?,Have we met before?,私たち前に会った事あるんですか?,La avaricia no tiene límites.,Ketamakan tidak ada batasnya.,
688,우리나라,NOUN,my country,我が国,nosotros,"kita, kami",우리나라에서는 태어나면 바로 한 살이에요. ,"In my country, we are regarded as being one year old as soon as we're born.",我が国では生まれれば既に一歳です。 ,¿Nos hemos visto anteriormente?,Pernahkah kita bertemu sebelumnya?,
689,우산,NOUN,umbrella,傘,nuestro país,negara saya,우산 안 가져왔어? ,Didn't you bring your umbrella?,傘持って来なかったの? ,"En nuestro país, cumplimos un año apenas nacemos.","Di negara saya, kita dianggap telah berumur satu tahun setelah kita lahir.",
690,우선,ADV,first (of all),まず,paraguas,payung,우선 동생한데 물어봐야 해요.,I have to ask my brother(sister) first.,まず弟(妹)に訊いて見なければなりません。,¿No trajiste tu paraguas?,Anda tidak lupa membawa payung kan? ,
691,우유,NOUN,milk,牛乳,"primero, antes que nada",pertama - tama,이 우유 상한 거 같아요.,This milk seems to have gone bad.,この牛乳いたんだようです。,Tengo que preguntar a mi hermano (hermana) primero.,Pertama-tama saya harus minta ijin kakak laki-laki (perempuan) saya.,
692,우체국,NOUN,post office,郵便局,leche,susu,나 지금 우체국 가는 길이야. ,I'm on the way to the post office.,私今郵便局行くところだ。 ,Esta leche parece estar vencido.,Susu ini sepertinya sudah tidak enak.,
693,운동 | 운동하다,NOUN | VERB,"exercise, workout, sports | to do exercise",運動 | 運動する,oficina de correo,kantor pos,운동을 위해 나는 매일 1킬로를 뛴다.,"For exercise, I jog a kilometer everyday.",運動のために私は毎日 1キロを走る。,Estoy llendo a la oficina de correo.,Saya sedang dalam perjalanan ke kantor pos. ,
694,운동장,NOUN,playground,運動場,"ejercicio, deporte; ejercitar, entrenar","latihan; olah raga, berlatih",아이들은 운동장에서 놀고 있을 거야.,Kids probably play at the playground.,子供達は運動場で遊んでいるだろう。,"Para ejercitar, corro un kilómetro diario todos lo días.","Untuk latihan, saya berlari 1(satu)kilometer sehari.",
695,운동화,NOUN,sneakers,運動靴,patio (de deportes),taman bermain,청바지와 운동화는 안 됩니다.,Jeans and sneakers are not allowed.,ジーパンと運動靴はだめです。,Los niños están jugando probablemente en el patio.,Anak-anak mungkin bermain di taman bermain.,
696,운전 | 운전하다,NOUN | VERB,driving | to drive,運転 | 運転する,zapatillas,sepatu karet,조심해서 운전해라.,Drive carefully.,気を付けて運転しなさい。,Los pantalones vaqueros y las zapatillas de deporte no se permiten.,Tidak diijinkan memakai jeans dan sepatu karet.,
697,울다,VERB,to cry,泣く,manejamiento; manejar,mengemudi; mengemudikan,아기가 자꾸 울어서 데리고 나왔어요. ,"My baby kept crying, so I took her out.",赤ちゃんがしきりに泣くので連れて出たんです。 ,Maneje cuidadosamente.,Mengemudilah dengan hati-hati.,
698,움직이다,VERB,to move,動かす; 動く,llorar,menangis,팔을 움직이려 했지만 이상하게도 움직이지 않았다.,"I tried to move my arms, but strangely they didn’t move.",腕を動かそうと思ったが不思議なことに動かなかった。,Mi bebé lloraba tanto que lo traje conmigo.,"Bayi saya terus menangis, jadi saya membawanya keluar.",
699,웃다,VERB,"to laugh, to smile",笑う,mover,bergerak,니 웃는 모습이 좋아.,I like the way you smile.,お前の笑う姿が好き。,"Intenté moverme los brazos, pero extrañamente no se movieron.","Saya coba menggerakkan lengan saya, tapi anehnya mereka tidak bergerak.",
700,웃음,NOUN,"laugh, laughter",笑い,"sonreír, reír","tertawa, tersenyum","나를 보자마자, 그는 웃음을 터뜨렸다.","As soon as he saw me, he burst out in laughter.","私を見るやいなや, 彼は笑いを噴き出した。",Me gusta cuando sonríes.,Saya suka caa anda tersenyum.,
701,원,NOUN,won (monetary unit of Korea),ウォン,sonrisa,"tawa, gelak-tawa",나는 이 신발을 3만 원에 샀다.,I bought this pair of shoes for thiry thousand won.,私はこの靴を3万ウォンで買った。,"Apenas me vió, comenzó a reir a carcajadas.","Segera saat dia melihat saya, dia tertawa terbahak-bahak.",
702,원래,"NOUN, ADV",originally,元々,won,won (mata uang korea),그 사람 원래 성격이 밝아요. ,He originally had such a pleasant personality.,その人は元々性格が明るいです。 ,Compré este par de los zapatos a tres mil wons.,Saya membeli sepatu ini seharga 30.000(tiga puluh ribu) won,
703,원하다,VERB,"to want, to wish","願う, 望む","originalmente, en realidad",semula,니가 원한다면 그거 할게.,I'll do it if you want.,お前が望むならそれやるよ。,"Originalmente, él tenía una personalidad muy agradable.",Dia memang memiliki kepribadian yang menyenangkan,
704,위,NOUN,top,上,"desear, esperar","menginginkan, mengharapkan",서랍 안이 아니라 책상 위에 있었어요.,"They were on top of the table, not in the drawer.",引き出しの中ではなく机の上にあったんです。,Lo haré si lo deseas.,Saya akan melakukannya jika anda mau.,
705,위치,NOUN,"position, location, site",位置,"encima, arriba",diatas,그 가게는 위치가 나쁜 것 같아.,I think that store has a bad location.,その店は位置が悪いと思う。,"Estaban encima de la tabla, no en el cajón.","Mereka ada diatas meja, bukan di dalam laci",
706,위하다,VERB,to do in favor of,ためだ,"ubicación, localización","posisi, lokasi",이건 널 위한 작은 선물이야.,Here's a little present for you.,これは君をための小さなプレゼントだ。,Pienso que el almacén tiene una mala localización.,Saya rasa toko itu berada di lokasi yang buruk,
707,위험 | 위험하다,NOUN | ADJ,danger | to be dangerous,"危険 | 危険だ, 危ない",para,melakukan sesuatu untuk,어렵고 위험할 것 같은데.,That sounds difficult and dangerous.,難しくて危なそう。,Esto es un pequeño regalo para tí. ,"Ini dia, hadiah untuk anda.",
708,유명하다,ADJ,to be famous,有名だ,"peligro, peligrar ",bahaya; berbahaya,부산은 해산물로 유명하다. ,Busan is famous for its seafood.,釜山は海産物で有名だ。 ,Eso suena difícil y peligroso.,Sepertinya sulit dan berbahaya.,
709,은행,NOUN,bank,銀行,famoso,terkenal,저희 은행에 계좌를 갖고 계신가요? ,Do you have an account with our bank?,当銀行に口座を持っていらっしゃるんでしょうか? ,Busan es famoso por sus mariscos.,Busan terkenal dengan seafood nya.,
710,음식,NOUN,food,食べ物,banco,bank,매운 음식도 괜찮아?,You don't mind spicy food?,辛い食べ物も大丈夫なの?,¿Tiene una cuenta en nuestro banco?,Apakah anda mempunyai rekening di bank kami?,
711,음악,NOUN,music,音楽,"alimento, comida",makanan,집에서 음악 많이 들으세요? ,Do you listen to much music at home?,家で音楽たくさん聞きますか? ,¿No importa si el alimento es picante?,Anda tidak keberatan dengan makanan pedas?,
712,의견,NOUN,opinion,意見,"música, canción",musik,그 사람한테 니 의견을 말하지 그래?,Why don't you tell him your opinion?,その人にお前の意見を言ったらどうなの?,¿Escuchas mucha música en tu casa?,Apakah anda banyak mendengarkan musik di rumah?,
713,의미 | 의미하다,NOUN | VERB,meaning | to mean,意味 | 意味する,"opinión, pensamiento",pendapat,사랑이 없는 결혼은 아무런 의미가 없어. ,Marriage without love doesn't mean anything.,愛のない結婚は何の意味もない。 ,¿Por qué no le dices tu opinión?,Mengapa tidak anda katakan padanya pendapat anda?,
